SMILES	prop_1	prop_2	prop_3	prop_4
CC(=O)C(=O)C#N	4.0682	0.29887	-1.791130516	2.8116
FC(F)F	1.5768	0.6236	-0.72658668	12.1566
COC(C)C1CO1	1.8086	0.4539	-2.589228146	7.8518
ON=C1CCCN1	2.0708	0.37391	-2.303267167	6.3191
CNC(=O)C(F)F	3.1132	0.40327	-1.870383467	5.6499
CCCN=CNC	2.2705	0.38717	-2.851801702	6.0896
CON=CN(C)N	0.6791	0.35558	-2.251120704	5.8954
CCC(N)C(C)O	3.117	0.42647	-2.966360897	7.067
NNC(=O)C(F)=C	1.0656	0.36824	-1.866145045	5.0763
ON=C(CF)C#C	1.4676	0.35496	-1.75385038	5.4877
CC(=O)NCC#C	3.4756	0.41152	-2.292885814	5.8655
CC1CONC1=O	2.7272	0.37316	-2.199585371	5.4828
CC1CC(=O)N1	4.2325	0.40947	-2.083279803	6.0305
FCC=COC=O	3.298	0.37799	-1.965743607	5.8353
C=C1OCCC1=O	2.6817	0.32402	-2.208163471	3.8882
CC(O)(C#N)C#N	4.7067	0.45215	-1.888436873	7.3201
CCC(C)C=O	2.946	0.37696	-2.482292299	4.2969
COC=C(C)C#C	2.1248	0.34723	-2.441461447	5.5345
NN=CN(O)C=O	3.2409	0.33205	-1.758564791	5.1145
FCCCC1CC1	2.0439	0.47871	-2.778284621	8.5941
FCC1COC=C1	1.1931	0.38989	-2.261576308	6.3327
NC(=O)NNC=N	4.5025	0.40381	-1.950791291	6.4427
Fc1c[nH]cn1	4.8499	0.39071	-1.528628802	6.4451
NN=CCF	2.1142	0.37094	-1.428159563	5.9304
CC(C)=CC(C)=C	0.8764	0.34575	-3.018654271	5.676
CCC#CC=C	0.6421	0.35942	-2.298127478	5.4103
NC1(CC1)C(F)F	2.6053	0.43567	-2.134695027	7.0643
C#CC1OC1C#N	3.8233	0.4165	-1.794158326	6.2652
NN=CCCF	1.4978	0.37242	-1.899197881	5.994
NC(=N)C1CC1O	3.9698	0.40221	-2.31866909	6.5793
CC1CNC(=N)O1	4.9493	0.41122	-2.352913929	6.7041
CCNC1CC1	0.9297	0.42024	-2.555700069	6.8403
CCC#CC(N)=N	3.6333	0.36428	-2.39292491	5.4176
CC1(F)CC1N	1.2084	0.4157	-2.108549142	6.733
Nc1n[nH]oc1=O	3.2765	0.32047	-1.588356831	4.9951
Cc1cocc1O	0.8418	0.37774	-2.208548451	6.1486
CCC1OC1C#N	4.4743	0.45044	-2.288339241	7.1822
NCC#CCF	1.8345	0.42156	-1.857296614	6.3023
FCC=CC#N	3.6701	0.3789	-1.688917416	6.3192
CC1(C)CON=C1	3.7524	0.39118	-2.488752482	6.1196
N=CNCCC#C	2.0086	0.39802	-2.377884379	6.4059
OCC1CNN=C1	3.7529	0.36654	-2.301633813	5.7521
CN1CCC1CF	2.0965	0.41857	-2.569388008	6.9638
CN(C=O)N=C	3.6861	0.3693	-1.846165875	5.5477
ON=CC#C	0.1734	0.35285	-1.274189217	5.4112
CCNCC(F)F	2.2051	0.42882	-2.364698517	6.9958
NC(CF)C(O)=O	2.1742	0.40515	-2.015351118	5.7816
CN(C)N(C)C=N	4.4311	0.3896	-2.605596879	6.3837
CCC(=C)CCO	2.068	0.41412	-2.931617838	7.0809
CCCC=CC=C	0.6734	0.35068	-3.016841603	5.8438
OCC(=C)C1CN1	3.162	0.38996	-2.4757971	6.4143
CC1CC1(C)N	1.2807	0.40536	-2.564882772	6.5006
COC(C)(C)CO	2.4076	0.45187	-2.838114659	7.9667
CCCC(=C)C#C	0.5406	0.36767	-2.762506009	5.6943
NC1CC2CC1N2	2.5345	0.42039	-2.611572018	6.9205
CCC(C)(C)CC	0.0355	0.48467	-3.476208525	9.0164
CC1NC(=O)C1C	4.1184	0.40316	-2.554771746	5.9366
CCC(=O)C#CC	3.8062	0.36028	-2.480292706	4.0935
C1COC=NN1	2.5198	0.38059	-1.836631318	6.1497
OCC=NOC=O	2.2429	0.39573	-1.869094441	5.7061
CON(C)C(N)=O	3.6158	0.41093	-2.217459082	6.6637
CC(C)NC(C)=N	3.6714	0.40082	-2.867811503	6.5515
Nn1cnoc1=O	4.3554	0.3971	-1.588414077	6.7412
FCCCC#C	1.6787	0.45805	-2.064632416	6.72
CC1CCC(N)C1	1.2664	0.41897	-3.065939892	6.7268
Cn1oncc1=O	2.023	0.32693	-1.747952605	4.9352
OC1C2NN=CC12	2.2407	0.35043	-2.061934527	5.2765
CN(C)N=CC=C	2.124	0.30967	-2.583423041	5.0624
NN=C1C=CN=C1	4.0227	0.27503	-1.970316058	3.5714
CC1(CC1)C(F)F	2.1943	0.49128	-2.339861239	8.9397
OCCC#CCF	2.0972	0.43764	-2.218820893	6.2099
COC=C(F)F	2.4352	0.4072	-1.532387002	6.8542
CC(CF)C=NO	1.6932	0.40444	-2.2434457	6.1288
Nc1ccnn1N	2.4791	0.37082	-2.013210402	6.2137
CC=CC=NN	1.8877	0.32256	-2.132728789	5.3519
ON=C(C=C)C=C	0.414	0.32446	-2.23884947	5.1534
Cc1n[nH]c(=O)o1	3.2804	0.39192	-1.851593974	6.654
OCC1CN1C=N	2.9541	0.41121	-2.282918435	5.9368
CCOCCO	2.3593	0.46121	-2.367546422	7.8373
NC(CF)C=NO	1.2044	0.38889	-2.039745734	6.0974
CCNC(=O)C=O	2.3914	0.319	-2.252356032	3.3998
CCCCCC=O	2.6667	0.38447	-2.950778952	4.414
OC(C#C)C#C	1.6255	0.42701	-1.708055392	6.3353
CNC(=O)CCF	3.892	0.41522	-2.321474724	5.9313
CCC1(F)CC1	1.7844	0.47073	-2.31248428	8.49
CC12CC=CC1N2	1.6514	0.38286	-2.597013742	5.9635
NN=CN(N)C=N	3.996	0.34614	-1.983060944	5.6134
Nc1nn[nH]c1O	3.2032	0.37384	-1.714108148	5.9084
CNNC(=O)NC	4.4309	0.4229	-2.354129763	7.0074
C=Cc1cnco1	1.6351	0.33341	-2.104569484	5.2755
O=C1NC2CC2N1	4.3749	0.40915	-2.143714461	6.7127
CC(O)C1CO1	1.5827	0.47164	-2.137708819	8.0374
OCC(CO)CO	3.7613	0.43104	-2.529326882	7.4886
CC=CCON=C	0.7134	0.38651	-2.451709829	5.8297
CC#CCCC#C	0.9547	0.44125	-2.514439893	6.6582
CCC#CCCN	1.306	0.4266	-2.792604707	6.6883
Nn1cccc1F	1.3487	0.38265	-1.949490882	6.3465
C=COC1COC1	1.7208	0.39596	-2.360609758	6.7711
CCC1NC1C=C	1.8828	0.39795	-2.797363784	6.6051
CC(F)=C(F)CN	1.2448	0.40268	-2.130374355	6.5547
OC=C1C=CC=N1	3.8854	0.3144	-2.090558165	4.2715
CCC(C)N(C)C	0.5786	0.39133	-3.253379621	6.3563
FC1CC(=O)C=C1	2.5321	0.34594	-2.075782111	3.9404
C#CCN1CCC1	1.2483	0.40603	-2.534806225	6.3905
C=C1COC=CO1	0.665	0.36099	-2.172161634	5.5513
Oc1cnoc1	2.9553	0.36629	-1.503690659	5.8991
CCC1OCC1=O	1.065	0.3734	-2.403640173	4.3574
CN(O)C(=O)CN	3.6197	0.36569	-2.205626359	6.0615
FC=C(C#C)C#C	0.9106	0.33787	-1.817848501	5.4146
CCCOC=NO	1.254	0.39882	-2.383940122	6.8222
CC=C(C)C=CF	1.9729	0.34867	-2.564422353	5.881
CC1CC1CC#N	4.1154	0.46562	-2.612834684	7.843
CC(C)C(=O)NN	2.445	0.40487	-2.554367755	5.9207
CC(C)N(N)C=N	5.063	0.38341	-2.6253224	6.3694
C=C1COCC1=O	2.3547	0.32847	-2.196175478	3.5962
CN(CCO)C=N	4.5759	0.38715	-2.532817807	6.3964
CCC=CNC=N	3.36	0.3549	-2.630289516	5.7056
CC=C(F)CC=C	1.2667	0.39621	-2.560741714	6.7337
CC1C=CC2NC12	1.7956	0.38132	-2.591768182	5.9334
C=CN(C=O)N=C	1.3586	0.34286	-2.07679607	4.8005
NC1C2CC=CC12	1.3876	0.39476	-2.595495043	6.4182
OC(=O)C(=O)C=O	1.2963	0.28971	-1.60854992	2.7486
CN(O)C(=O)C#N	3.6709	0.32848	-1.770605513	5.524
FC1CC(F)C1=O	2.8455	0.3426	-1.801615159	3.7962
O=Cn1ccnn1	5.4338	0.35428	-1.693071944	4.59
NN=CCC(F)=C	2.8792	0.37346	-2.141894786	6.007
CC=C(C)C=NN	1.6882	0.32484	-2.604266217	5.3677
CC1=CC(F)=CC1	2.3201	0.34799	-2.366034731	5.1371
CC(F)CC1CO1	2.3272	0.47631	-2.466071288	8.4408
CC1=CCN=CN1	3.2625	0.35504	-2.431154123	4.9901
Oc1cnnn1O	4.3657	0.37974	-1.535452492	6.0452
CCN(N)C=NC	1.5286	0.37517	-2.618934053	6.1319
CN(C=C)C=O	2.753	0.36938	-2.071426395	5.6128
COC(=CC)C=O	3.0031	0.3341	-2.399972824	3.9131
CCC(C)C=NN	1.7386	0.37369	-2.826097154	6.0058
ONC(=O)C=CF	2.7603	0.36098	-1.726890228	4.9022
CCCCC(N)=N	3.0016	0.40247	-2.871737293	6.3502
NCC(=N)N1CC1	3.4745	0.40519	-2.405933826	6.1627
FCC=CF	1.7543	0.42409	-1.39037188	7.5552
CC=CC(N)=O	3.6317	0.36585	-2.090723635	4.966
CCCC(F)=CF	2.7601	0.41918	-2.330408846	7.1187
CC(C)CF	1.8246	0.51068	-2.082965545	9.5217
Cc1n[nH]nc1C	0.7379	0.38995	-2.238426914	6.5517
CC(=C)C(F)CN	2.1371	0.40252	-2.587524797	6.7015
C1CC1C2CN2	1.8404	0.43463	-2.315750015	7.2109
OC(=O)C=CCF	0.8577	0.37956	-1.992227064	5.1597
CC1CNC(=O)N1	4.5169	0.4325	-2.390244355	6.811
CC(N)C1(O)CC1	2.8909	0.41828	-2.725070784	7.079
NCCCCC#C	1.5341	0.4269	-2.784621818	6.7279
CC1OC1C	1.9673	0.47466	-1.98611374	8.7324
FC1CCC1(F)F	3.1124	0.49841	-1.889810976	8.7179
CC=NN1CC1	0.549	0.3749	-2.102528326	4.9941
NC(N)=C(F)C=O	6.6341	0.31123	-1.885297322	4.2712
CNCCNC=O	3.1044	0.37633	-2.559005093	5.7522
CNN=CC(C)=O	4.5844	0.31362	-2.307858312	3.9554
CC1(O)C(F)C1F	2.1597	0.44633	-1.999848668	7.3986
On1ccnn1	2.9452	0.39524	-1.381577193	6.2975
CC1=NCC=NN1	1.1027	0.36778	-2.215307745	5.1655
Nn1cc(O)nn1	4.6884	0.36374	-1.676674409	5.795
CCC(N)C(C)F	1.8652	0.42583	-2.822345397	6.9229
CONC(=O)C#C	3.736	0.36386	-1.905514118	4.9163
FCCCCC=O	1.905	0.38368	-2.494664424	4.4046
COC=CC#C	2.5232	0.34614	-1.969355181	5.502
CNn1ccnn1	3.6714	0.39356	-1.98053032	5.7009
O=c1cnonc1	0.1722	0.31411	-1.505612884	3.3562
NN=CC=CCO	2.5399	0.31856	-2.284311415	5.275
CC1CC2CC1O2	1.8484	0.44974	-2.701576873	7.8203
CC(=CF)C=NO	0.894	0.33691	-2.016184854	5.5067
CCCCOCC	1.0508	0.4492	-3.149860428	7.6466
Oc1cnco1	2.006	0.37749	-1.549806722	6.1832
CCCC1(C)CN1	1.7944	0.42753	-3.030359142	7.2299
OCC1CC(=O)C1	3.7379	0.37218	-2.411656971	4.3125
NCC1CN1N=C	1.4014	0.36278	-2.359776241	4.6797
FC=COCC=O	0.8515	0.3452	-1.928824828	4.3243
C#CC1CN1	1.34	0.42386	-1.601409467	6.246
CC=NNCC=C	1.6039	0.36406	-2.585025968	5.8496
NNC(=N)CCF	2.8464	0.40337	-2.179588563	6.4797
CC#CC1CC1N	0.9466	0.40085	-2.556017677	6.1532
C#CC#C	0	0.39562	-1.100589197	4.9267
CCC(NN)=NN	1.6136	0.36576	-2.403119824	6.0052
CC1OC1C2CO2	0.3351	0.48239	-2.361767275	8.1873
CCN(O)C=NO	1.6387	0.36384	-2.133550633	5.9155
CNC1CCNC1	0.7666	0.38759	-2.841389377	5.9908
CC1CN1NC=N	3.8919	0.38857	-2.377026893	6.3386
NC1C2CNC1C2	2.3179	0.409	-2.601365576	6.6654
CC1OC(C)C1N	1.9264	0.41912	-2.726364069	6.7219
NN=C(CO)NO	2.5904	0.3678	-1.951643649	5.8891
CCC(C)(N)C#C	1.4848	0.42562	-2.786863733	6.6893
CN(O)C(=N)NO	4.0653	0.40432	-1.93721485	6.4775
COC(C)C#N	3.3606	0.45537	-2.05006704	7.5218
CCC(F)C=O	1.3461	0.37535	-2.024830553	4.2164
CCN(C)C=NO	2.0986	0.36326	-2.492476658	6.0638
N=CNC1COC1	3.0621	0.39513	-2.300929149	6.373
OC1CC1(F)F	3.4416	0.45995	-1.538117172	7.7275
OCC(=O)C=CF	1.4941	0.33685	-1.955748584	3.8186
CCCC(O)C=C	1.3573	0.41709	-2.927497418	6.8601
COCOCCN	1.2616	0.43434	-2.624881081	6.9044
COC(=C)C#CC	2.5236	0.34592	-2.443518892	5.5526
CN1CCC1CO	2.2611	0.39985	-2.709784803	6.7561
Cc1ccccn1	1.8715	0.37033	-2.44657256	5.0302
NC1C(F)C1F	1.2947	0.42008	-1.639173312	6.6467
CNCCC1CO1	1.0275	0.41847	-2.700820028	6.5799
CC1C(C)C1O	1.5312	0.44536	-2.453067477	7.4938
C#Cc1ncco1	1.55	0.34669	-1.843556858	5.4273
O=C(C#C)C1CN1	2.7224	0.34171	-2.021401382	4.2002
FC1C=COC=C1	1.9365	0.3927	-2.050789365	6.0337
C=CCCC1CC1	0.4438	0.42211	-3.001143247	7.4621
OCC1NC1C#C	3.0983	0.42402	-2.222560445	6.3715
CCC=CCO	2.0668	0.41173	-2.459573878	6.9787
FC=CC(F)(F)F	1.1864	0.42585	-1.446942211	7.7417
NC(=N)C(O)C#N	5.0416	0.40849	-1.928593044	6.8453
CC(=O)C=C(N)N	5.848	0.33037	-2.35398856	4.3942
FC(C=C)C=O	1.422	0.36205	-1.78760282	4.2351
CC1=COCC1F	1.7246	0.38924	-2.271679571	6.2344
NC(=N)CC(N)=O	1.6647	0.37788	-2.186955814	5.8602
FCC(C=C)C=C	1.5632	0.40381	-2.548643629	6.8918
c1cnon1	3.3437	0.41853	-1.123419127	6.0207
CC(=O)C1CC1	2.9263	0.38653	-2.257496088	4.621
Cc1noc(O)n1	0.926	0.40962	-1.81478897	6.7853
NC(=N)C(O)=O	2.049	0.34554	-1.598394229	4.957
CCCC(=C)CC	0.5987	0.41274	-3.24495199	7.2388
CC(=C)C(N)CN	2.1909	0.39907	-2.837486134	6.5539
CC(=O)ONC=O	4.5414	0.39853	-1.905005055	5.6683
CC1CN1C(N)=N	2.8288	0.4098	-2.428546838	6.7231
CNCC(C)OC	0.9902	0.41172	-2.934512813	6.7325
CN(C)NC(C)=N	4.0106	0.40579	-2.622699942	6.4818
ON=CCCC#N	3.893	0.40101	-2.073974495	6.0669
OC(=O)CCC#N	4.6845	0.43821	-2.053089107	6.0439
FC=CC1CN1	1.1097	0.40331	-1.866813979	6.7136
OC1CCC(F)C1	1.759	0.45659	-2.50421061	7.5423
FC1(F)CNN=C1	2.2386	0.36426	-1.717679137	5.7066
CC(=C)OCC=C	0.4638	0.38143	-2.694355087	6.6412
CC(O)C(C)(C)F	1.7122	0.45611	-2.717256161	7.7184
CNCCC(C)=C	0.7072	0.39454	-3.030221873	6.5525
FC=CCCC=C	1.5744	0.409	-2.552649953	7.1282
NC=C(C=O)C#N	8.9958	0.3141	-1.909118435	4.0682
OCC(F)C#N	2.2022	0.44994	-1.599885939	7.1198
Nc1n[nH]c(=N)[nH]1	2.8658	0.3552	-1.849266265	5.9493
CCC=C(C)C=O	3.769	0.35168	-2.730067341	4.0202
CCN1CCC1C	0.7622	0.40967	-3.029459528	6.86
C#CC1CNC1	0.9522	0.42058	-2.073850944	6.5467
CC=CC=CF	1.7572	0.34947	-2.094144577	5.9616
CC(=C)CCC#C	0.7492	0.41282	-2.760896104	6.7187
O=C1COC=NO1	4.0684	0.38574	-1.668114112	5.4959
C1CN=CNN1	2.9016	0.36971	-1.938104463	5.6938
CC(O)C(=C)C#C	1.4765	0.3689	-2.45009719	5.7137
C=CCC=CC#C	0.8068	0.35723	-2.528067227	5.6332
Cc1nc(N)c[nH]1	3.0189	0.35751	-2.265343814	5.7758
ONC(=O)CC=O	4.3539	0.37809	-1.885690558	4.323
FCCC=C	1.7062	0.42499	-1.846464388	7.498
C=CC1CNC1	1.1484	0.38799	-2.324801926	6.6175
CC=COC=O	2.0525	0.37397	-1.958110006	5.8562
COCOCCF	1.8499	0.48262	-2.369143001	8.4794
C1Cn2cncc12	4.4053	0.39703	-2.191317098	6.572
CC(=C)CCCF	1.7921	0.41461	-2.789240265	7.2435
ONC(=O)C#C	3.439	0.36612	-1.44938256	4.8939
CNC(C)C=NN	1.1372	0.36977	-2.611509147	6.0186
O=C1CCOC=C1	3.2304	0.34713	-2.217829006	4.05
CCN1CC1C#C	1.5321	0.42572	-2.53371308	6.3686
CNCC(=O)C#N	3.8334	0.3041	-2.102788215	4.2016
O=c1nc[nH][nH]1	6.463	0.35293	-1.465615868	5.3358
NN=CCC=C	1.8456	0.36297	-2.121703921	5.9119
CC(=NN=C)C#N	4.769	0.33416	-1.967097015	4.4918
NN=CN1CC1	0.9074	0.35796	-1.902712901	5.7877
C1CN1CC2CO2	2.0502	0.44184	-2.456236144	7.5792
CC(C=NN)=NN	3.5596	0.29882	-2.182360318	4.5343
N=CN1CC1C#C	2.4284	0.39708	-2.11727696	6.0191
CC(C)CCCF	1.8852	0.50126	-3.019437537	9.3699
CC=CCC(C)=O	3.1784	0.36541	-2.731021342	4.3953
Nc1c[nH]cn1	3.1601	0.35988	-1.789161426	5.7944
N=C1CNN=CN1	1.5048	0.34537	-2.020688707	5.1953
CN=C(CN)NO	4.3037	0.37345	-2.289831901	6.2036
CCOCCCO	3.1771	0.44675	-2.837862392	7.8437
CC=C(F)F	1.5963	0.42859	-1.402368077	7.6799
NC(CC=O)=NO	1.4321	0.33293	-1.987568395	4.2676
FCC(F)C=C	0.2254	0.42673	-1.857855679	7.5491
CCONC(N)=N	3.0331	0.42526	-2.306373575	7.0348
FC(=CC=C)C#C	1.445	0.31729	-2.077665182	5.0392
C1C2C=NN=CC12	4.9425	0.33976	-2.153836422	3.9987
C1OC2C=COC12	1.1284	0.3866	-2.16611455	6.1519
FCC1CNC1	2.0338	0.41924	-2.100911789	6.6108
O=CC(C#N)C#N	1.6017	0.3737	-1.67261728	4.3429
CN(C)CC(C)=O	3.0249	0.35814	-2.738149133	4.4172
C#CC1OC1C#C	1.7228	0.41207	-1.94064927	6.2041
O=Nc1c[nH]cn1	7.0524	0.27709	-1.658591425	1.6457
CN(C)NC(N)=N	3.5597	0.40912	-2.433843299	6.92
CCN1CC(=O)C1	2.961	0.35637	-2.507682158	4.4335
CCC1C(C)N1C	1.0336	0.42913	-3.023732663	7.3658
Cc1noc(N)n1	2.7336	0.38898	-1.933062717	6.7389
Cc1conc1N	3.6633	0.37818	-2.104520786	6.2929
CNC(=O)CO	3.2444	0.40335	-1.995364033	5.8787
CC1CN1C=NN	1.1941	0.3633	-2.373527567	5.6186
CC1CC1NC=N	4.0212	0.40409	-2.620736031	6.4612
FC=CCC=CF	1.7009	0.39859	-2.097700956	6.9391
NNC(=O)C(N)=O	1.4678	0.33276	-1.866528866	4.4284
NCCCCC=C	1.1819	0.40178	-3.034992157	6.6926
CC=CN(C)C=N	3.3433	0.35159	-2.623533108	5.6112
CC(=N)NCC=C	2.785	0.38693	-2.631611532	6.3848
Cc1c[nH]c(=N)[nH]1	3.5983	0.34615	-2.252404089	5.439
CC(=O)NCC=O	1.3962	0.37563	-2.257950234	4.572
OC(CF)C#C	1.6961	0.43161	-1.741586639	6.3988
CC(=C)OCCO	1.4515	0.41207	-2.616285302	7.1517
CC(CO)OC=O	2.1226	0.42079	-2.347357951	5.9168
COC(C)C=CC	1.5133	0.41694	-2.919457381	6.8831
CNC(=O)C(O)=O	2.311	0.34356	-1.97453237	4.3761
CNc1cc[nH]n1	1.6002	0.36224	-2.232340253	5.9427
CC(C)C=NO	0.7497	0.40517	-2.232723727	6.1915
CCC(O)C(C)=O	3.0965	0.38833	-2.653532921	4.7268
N=CNOC1CC1	2.2142	0.38979	-2.243418402	6.1858
C#Cc1ncno1	1.6622	0.36285	-1.617121964	5.5122
CCONC(C)=N	3.1218	0.4157	-2.494898496	6.4482
Cc1noc(=O)o1	4.5602	0.41818	-1.712286026	7.2228
CN(CCO)N=C	1.9146	0.34017	-2.490146996	5.5115
NCCC1CC1	1.2181	0.42734	-2.560400046	6.7055
Cc1ccncn1	2.5694	0.36112	-2.247002526	4.6188
Nc1nn[nH]n1	2.3581	0.3523	-1.354847281	5.8815
OCC1=COCO1	1.6702	0.36235	-2.079775298	5.8243
CC(C)C(O)CN	2.989	0.43218	-2.963410595	6.9941
CCC=COC=C	1.3475	0.37946	-2.691580882	6.3241
NCC(O)CCO	5.0426	0.4264	-2.651295566	7.0506
NC(=N)OCC=C	2.1736	0.4011	-2.327855503	6.8901
CN=C(NO)C=C	2.1244	0.34513	-2.251198515	4.7251
CC(N)(CN)CO	3.1578	0.41936	-2.762408292	6.8406
CC#CC(=O)CO	3.9337	0.34926	-2.161119152	3.9863
Nc1ccnn1O	2.9148	0.36459	-1.87335845	6.0961
CC1=CCCC1F	1.8664	0.41214	-2.592733781	7.0059
CCOC1CNC1	1.1224	0.421	-2.704278297	6.6175
N=c1cnocn1	1.9594	0.34346	-1.653560888	4.4118
C1C2NC1C=C2	1.3103	0.3706	-2.08719883	5.3752
CC1C2C=CCN12	1.5508	0.37237	-2.585089314	5.5398
CC1NC(C)C1=O	2.7078	0.36306	-2.520207796	4.2654
CC(F)=C(C)F	3.0217	0.41043	-1.869245641	6.9125
FCC1CCCC1	1.9121	0.50096	-2.812174353	9.178
NC(=N)ONC=O	5.9309	0.39814	-1.803232451	5.4898
CCNN=CNN	2.0061	0.34747	-2.3906225	5.5983
Nc1nnnn1O	5.7742	0.3783	-1.449175716	6.2194
CN(OC=O)C=N	2.9544	0.37872	-1.978505575	5.9045
C=CN(C=N)C=O	4.5495	0.35509	-2.113716246	4.8397
CCNC(=N)CF	2.8696	0.39488	-2.406225514	6.6227
FC(F)C1CO1	3.3639	0.49955	-1.540992166	8.3742
CNC(C)C	0.8799	0.40706	-2.324693146	6.4994
Cc1c[nH]cc1F	2.9401	0.39064	-2.187248019	6.4042
OCC(=C)C=C	1.5584	0.35528	-2.228704635	5.9456
CC1CC1(C)C	0.1154	0.4502	-2.770405135	7.9931
CC1CN(C)C1=O	3.8791	0.39974	-2.547009088	6.0506
C=Cc1cnoc1	2.9015	0.34497	-2.060823791	5.4665
CCCNCC#N	4.5285	0.41396	-2.632743176	6.5433
CC(F)C(O)C=O	1.186	0.3841	-2.18735401	4.5132
CC1COC(=O)N1	5.4668	0.44351	-2.275071762	7.0384
